onset	duration	task
15	5	instructions
20	120	vocabulary
155	5	instructions
160	120	presentation
280	5	instructions
285	120	vocabulary
405	5	instructions
410	80	probe
490	5	reward
510	70	trivia
595	5	instructions
600	120	presentation
720	5	instructions
725	80	probe
805	5	reward
825	5	instructions
830	120	presentation
950	5	instructions
955	120	vocabulary
1075	5	instructions
1080	80	probe
1160	5	reward
1180	5	instructions
1185	120	vocabulary
